"code","value"
"❤️","138,194"
"✅","96,592"
"✨","94,511"
"😂","87,430"
"😊","81,539"
"😭","77,460"
"🔥","73,841"
"⭐","69,762"
"🎉","60,040"
"✔️","54,904"
"💀","51,539"
"👀","51,373"
"👍","46,725"
"🙏","45,062"
"👉","42,935"
"🇦🇺","39,657"
"🎄","35,479"
"📍","34,426"
"👇","32,707"
"😍","31,063"
"❌","30,721"
"🤣","30,059"
"☀️","29,670"
"😅","28,242"
"😉","27,903"
"💪","26,885"
"🥹","26,767"
"🫶","26,653"
"🚨","26,139"
"🤔","26,127"
"➡️","25,257"
"📷","24,703"
"🥰","24,593"
"🫡","24,463"
"💙","24,222"
"🥳","24,201"
"🚀","24,071"
"🤩","23,543"
"🔗","23,485"
"👋","23,442"
"🤍","23,107"
"⚠️","22,731"
"🎁","22,373"
"🌟","21,998"
"🏆","21,664"
"📅","21,259"
"🩷","20,408"
"💚","20,055"
"👏","19,874"
"💡","19,812"
"😔","19,505"
"☺️","19,234"
"😎","19,229"
"🙌","19,190"
"⬇️","18,901"
"💰","18,833"
"💔","18,679"
"✈️","17,829"
"💜","17,816"
"☕","17,627"
"😁","17,284"
"⚡","17,222"
"💖","16,879"
"💛","16,794"
"🔴","15,795"
"💬","15,785"
"🤓","15,764"
"💸","15,690"
"🖤","15,608"
"👑","15,573"
"🥺","15,395"
"⏰","15,364"
"🙂","15,157"
"🤝","14,806"
"😈","14,792"
"💥","14,750"
"💗","14,674"
"📚","14,614"
"🌸","14,064"
"🤞","13,963"
"😘","13,881"
"📣","13,721"
"🗣️","13,645"
"📖","13,587"
"🎅","13,059"
"🌊","13,027"
"🤯","12,859"
"😏","12,822"
"🏠","12,807"
"📢","12,717"
"😋","12,553"
"🎨","12,462"
"🥂","12,330"
"😆","12,148"
"🚗","11,680"
"🎵","11,666"
"🧡","11,569"
"🤭","11,408"
"📝","11,346"
"❄️","11,279"
"🌱","11,102"
"😀","11,083"
"📈","11,032"
"📱","11,016"
"❗","11,002"
"🟢","10,987"
"🥀","10,843"
"🖕","10,789"
"📞","10,769"
"🌒","10,722"
"📸","10,718"
"🙄","10,717"
"🎀","10,699"
"💕","10,656"
"😬","10,626"
"🧠","10,607"
"🎂","10,477"
"🫵","10,454"
"🎥","10,450"
"🤑","10,282"
"🤫","10,254"
"🎶","10,204"
"🌈","10,138"
"🐶","10,116"
"💻","10,071"
"😳","10,057"
"🇺🇸","9,861"
"🤖","9,794"
"🎟️","9,730"
"💩","9,722"
"🥲","9,545"
"👻","9,398"
"🎃","9,333"
"📧","9,311"
"❓","9,297"
"🥵","9,276"
"😱","9,084"
"🫠","9,074"
"😄","8,992"
"🤦","8,936"
"‼️","8,892"
"❤️‍🔥","8,868"
"🎤","8,827"
"🫣","8,826"
"🌴","8,742"
"🤤","8,718"
"🐾","8,705"
"🌞","8,686"
"💦","8,631"
"🙃","8,541"
"😇","8,482"
"😲","8,479"
"🌏","8,439"
"🌿","8,351"
"🩵","8,172"
"🦘","8,146"
"🤪","8,116"
"🎧","8,080"
"💯","8,023"
"🤗","8,020"
"🏡","7,899"
"💌","7,825"
"💃","7,787"
"🗿","7,753"
"🍻","7,695"
"💎","7,686"
"😢","7,666"
"🍷","7,663"
"🎯","7,583"
"🌻","7,523"
"🥶","7,517"
"😃","7,474"
"💫","7,443"
"😛","7,436"
"🪩","7,416"
"⚽","7,405"
"🛍️","7,401"
"😡","7,364"
"✍️","7,328"
"😜","7,159"
"💋","7,141"
"🐰","7,115"
"👌","7,105"
"☝️","7,105"
"🏖️","7,020"
"📌","7,008"
"🛒","6,954"
"🥇","6,924"
"💅","6,885"
"✌️","6,834"
"🌹","6,812"
"🌳","6,807"
"😮‍💨","6,797"
"🌐","6,732"
"🔒","6,699"
"🎮","6,690"
"🤡","6,664"
"🤠","6,646"
"✏️","6,631"
"🧬","6,629"
"🌔","6,594"
"💭","6,553"
"🌘","6,551"
"🟡","6,528"
"🫩","6,515"
"📦","6,503"
"🤨","6,490"
"🫂","6,459"
"😴","6,420"
"🔫","6,397"
"😌","6,314"
"🏳️‍🌈","6,287"
"🌎","6,256"
"🇬🇧","6,253"
"🤷","6,235"
"🎫","6,173"
"❤️‍🩹","6,111"
"🏃","6,084"
"💧","5,992"
"🌙","5,988"
"🍕","5,983"
"🍔","5,978"
"⬆️","5,902"
"🚚","5,887"
"🙈","5,831"
"🍃","5,823"
"🖥️","5,772"
"📺","5,770"
"🐟","5,762"
"☁️","5,753"
"🌺","5,730"
"🎈","5,728"
"🔵","5,675"
"🚫","5,621"
"🌼","5,600"
"🙂‍↕️","5,569"
"🪄","5,536"
"🍹","5,536"
"🌶️","5,528"
"📋","5,503"
"🫧","5,502"
"🔔","5,468"
"🍽️","5,445"
"🎓","5,440"
"💐","5,401"
"🫶🏻","5,382"
"☑️","5,375"
"ℹ️","5,363"
"😠","5,357"
"🛠️","5,318"
"⚔️","5,292"
"🍑","5,286"
"🏎️","5,285"
"1️⃣","5,250"
"🇯🇵","5,245"
"💍","5,243"
"🏀","5,200"
"🔎","5,174"
"🏉","5,165"
"🍓","5,160"
"🔍","5,143"
"🤮","5,138"
"🗓️","5,137"
"🍆","5,133"
"🔊","5,065"
"☎️","5,053"
"🎸","5,025"
"👅","5,012"
"😝","4,989"
"🐝","4,985"
"🌖","4,958"
"🚧","4,957"
"🍺","4,943"
"☠️","4,942"
"📜","4,922"
"🐕","4,918"
"🟠","4,904"
"🍸","4,901"
"🦋","4,874"
"🍫","4,835"
"⚙️","4,825"
"😩","4,807"
"📲","4,805"
"🩸","4,783"
"🤎","4,773"
"🕺","4,772"
"😮","4,761"
"🐱","4,748"
"💞","4,747"
"🧸","4,714"
"🎊","4,699"
"😵‍💫","4,655"
"💲","4,598"
"🕊️","4,596"
"👶","4,596"
"🐨","4,596"
"🐺","4,569"
"🍎","4,544"
"✉️","4,543"
"🗺️","4,522"
"🍿","4,505"
"🎙️","4,504"
"🐈","4,482"
"📰","4,480"
"💨","4,434"
"🫦","4,401"
"😨","4,348"
"💤","4,327"
"🎆","4,318"
"🏢","4,291"
"🦅","4,280"
"🌷","4,276"
"🚩","4,225"
"🍾","4,218"
"📊","4,185"
"🔑","4,184"
"🤦‍♀️","4,179"
"💵","4,169"
"👽","4,156"
"💝","4,132"
"🖼️","4,118"
"🎬","4,115"
"⌛","4,115"
"🇮🇹","4,073"
"🔮","4,068"
"🍀","4,046"
"🇵🇸","4,035"
"🌲","4,020"
"🍪","4,019"
