"code","value"
"❤️","331,590"
"✅","255,613"
"🫦","232,676"
"🔥","184,037"
"🫶🏻","170,390"
"🇧🇷","169,353"
"✨","141,380"
"🫶","110,641"
"⚠️","106,666"
"💍","96,789"
"🚀","96,666"
"🤍","95,796"
"📍","91,562"
"⚕️","91,136"
"💀","89,436"
"🥹","82,442"
"👀","81,056"
"😭","77,617"
"❤️‍🔥","74,947"
"❌","69,730"
"🚨","69,217"
"⭐","67,590"
"👑","66,281"
"💙","63,030"
"💸","59,566"
"💚","57,074"
"😊","56,780"
"🩷","56,410"
"😍","55,807"
"✔️","55,308"
"🫶🏼","53,050"
"❤️‍🩹","52,860"
"⚡","52,001"
"🤣","51,232"
"🎉","49,310"
"🥰","48,969"
"👍","48,616"
"🫡","47,608"
"🙏","47,608"
"😉","46,845"
"🫶🏽","46,178"
"👇","46,164"
"🟢","45,804"
"🇺🇸","45,435"
"💬","44,216"
"🔴","42,514"
"😂","42,179"
"🤔","41,936"
"💜","40,543"
"💰","39,851"
"🫵🏻","39,848"
"🏳️‍🌈","39,455"
"📷","38,648"
"🪬","38,277"
"💡","38,110"
"🤝","38,050"
"➡️","37,411"
"🤩","36,794"
"🎁","36,761"
"😮‍💨","36,760"
"🎀","36,283"
"😈","35,381"
"👉","34,793"
"💭","34,727"
"🖤","33,735"
"☀️","33,439"
"🤖","33,414"
"🧠","32,247"
"🧡","31,773"
"🔗","31,265"
"🪫","30,843"
"🧿","30,544"
"💛","30,486"
"🤡","30,436"
"🇻🇦","29,871"
"🫀","29,515"
"💔","29,323"
"📅","29,279"
"🩸","29,262"
"🎮","28,907"
"⬇️","28,560"
"🫵","28,254"
"🥺","28,029"
"📚","27,815"
"🫶🏾","27,348"
"📌","26,950"
"🧸","26,576"
"😎","26,249"
"☠️","26,227"
"💪","26,207"
"🤓","26,092"
"🎥","25,746"
"😔","25,455"
"📱","25,158"
"🎯","24,932"
"🖕","24,870"
"📖","24,798"
"📝","24,752"
"💅","24,615"
"🛒","23,830"
"😱","23,788"
"😅","23,780"
"🥇","23,760"
"💖","23,661"
"⚽","23,520"
"😁","23,412"
"🔒","23,247"
"🩵","22,998"
"🏆","22,624"
"💻","22,564"
"🫧","22,161"
"☕","22,066"
"💥","21,988"
"🥷","21,959"
"👋","21,601"
"🐈‍⬛","21,494"
"🟡","21,453"
"☺️","21,331"
"🏳️‍⚧️","20,890"
"😶‍🌫️","20,769"
"🏠","20,650"
"🔞","20,500"
"🥵","20,422"
"⚙️","20,378"
"🤑","20,159"
"👏","20,130"
"🎧","19,888"
"🎰","19,799"
"🗣️","19,680"
"🥳","19,664"
"💎","19,521"
"😘","19,264"
"💗","19,210"
"▶️","18,988"
"⚔️","18,914"
"👻","18,840"
"🎄","18,592"
"🪽","18,492"
"🍀","18,484"
"🚗","18,420"
"🫠","18,287"
"📞","18,104"
"😀","17,776"
"🚫","17,708"
"🤨","17,548"
"🦅","17,472"
"🌟","17,260"
"🤫","17,124"
"🖥️","17,060"
"🔊","16,896"
"🗿","16,639"
"🌎","16,636"
"📢","16,535"
"📈","16,448"
"😋","16,312"
"✈️","16,231"
"🫂","16,083"
"🤤","15,964"
"😏","15,954"
"🤭","15,589"
"⚖️","15,359"
"🥀","15,279"
"🥲","15,245"
"🇫🇷","15,131"
"📲","15,114"
"🎃","15,103"
"💳","14,704"
"🎵","14,696"
"🌐","14,599"
"🌊","14,522"
"😳","14,205"
"🐾","14,193"
"😄","14,154"
"🛍️","14,124"
"❄️","14,061"
"🫣","13,985"
"🎭","13,940"
"🔵","13,858"
"🐶","13,848"
"🎨","13,820"
"❗","13,804"
"🇮🇹","13,688"
"👽","13,631"
"🤯","13,608"
"🎓","13,595"
"☝️","13,510"
"🤠","13,405"
"🎂","13,374"
"🙄","13,340"
"🥶","13,282"
"🌹","13,279"
"💲","13,243"
"🤎","13,203"
"🤗","13,151"
"📦","13,124"
"👮","13,124"
"🇪🇸","13,113"
"🪩","13,061"
"🐦‍🔥","13,057"
"⏰","13,039"
"🎫","13,025"
"🇵🇹","12,986"
"🦇","12,862"
"😃","12,860"
"📺","12,830"
"❓","12,719"
"🛡️","12,682"
"🔔","12,676"
"💋","12,395"
"😴","12,376"
"📧","12,374"
"🦋","12,314"
"💕","12,094"
"🎤","11,970"
"🌈","11,916"
"🫩","11,871"
"🇩🇪","11,862"
"🎲","11,857"
"💤","11,723"
"🙌","11,678"
"🎶","11,660"
"✏️","11,632"
"🔪","11,578"
"🤌","11,564"
"🚬","11,552"
"📜","11,536"
"🇬🇧","11,438"
"🎬","11,346"
"🩺","11,333"
"🥋","11,303"
"🙂","11,302"
"🌸","11,240"
"🔫","11,205"
"📋","11,101"
"🔍","11,084"
"💯","11,027"
"🪄","10,947"
"🚚","10,871"
"🕊️","10,839"
"💩","10,809"
"🐉","10,761"
"🏖️","10,742"
"👾","10,724"
"📸","10,683"
"✍️","10,558"
"💵","10,544"
"💣","10,518"
"💼","10,511"
"🍃","10,489"
"📊","10,222"
"🇯🇵","10,079"
"📴","10,047"
"♾️","10,015"
"🎈","9,980"
"🐒","9,959"
"👁️","9,838"
"🌻","9,790"
"🇦🇷","9,761"
"🪞","9,735"
"📰","9,734"
"🍿","9,726"
"🫰","9,695"
"🏹","9,607"
"🌙","9,592"
"🗺️","9,562"
"😡","9,498"
"🫵🏽","9,459"
"🇨🇴","9,445"
"1️⃣","9,397"
"📣","9,384"
"🐈","9,379"
"🚪","9,374"
"🤬","9,356"
"⏳","9,353"
"👊","9,303"
"🪖","9,288"
"🏍️","9,252"
"🇲🇽","9,088"
"🫵🏼","9,028"
"✝️","9,028"
"🏃","8,999"
"☁️","8,986"
"🪙","8,969"
"💨","8,960"
"🐺","8,812"
"🥂","8,809"
"🔮","8,780"
"💉","8,710"
"🍕","8,626"
"⌛","8,619"
"🃏","8,602"
"💊","8,589"
"🔎","8,550"
"💦","8,537"
"🎗️","8,422"
"🎆","8,405"
"🍔","8,405"
"🏎️","8,385"
"🇷🇺","8,348"
"🐻","8,344"
"🧩","8,268"
"🍓","8,263"
"🍺","8,259"
"🦁","8,241"
"🐐","8,239"
"🦖","8,206"
"🩶","8,199"
"🔱","8,153"
"🚩","8,128"
"🎅","8,100"
"🎩","8,061"
"🦊","8,046"
"👄","8,042"
"☑️","8,039"
"🚛","8,033"
"ℹ️","8,023"
"🍷","8,012"
"🍫","7,974"
"🟠","7,970"
"🌌","7,957"
"🧊","7,794"
"✂️","7,758"
"🔑","7,757"
"🇮🇱","7,699"
"🧒","7,688"
"♀️","7,666"
"🌱","7,659"
"🟣","7,641"
"📕","7,628"
"🕷️","7,610"
"😢","7,590"
"☯️","7,583"
"🐰","7,578"
"🌳","7,562"
"🔨","7,543"
"🐱","7,523"
"🎸","7,518"
"🕯️","7,494"
"🍁","7,493"
"🌴","7,447"
"💧","7,445"
"⚜️","7,440"
"🐍","7,404"
"🤏","7,339"
"🏴‍☠️","7,337"
"😜","7,326"
"😆","7,266"
"2️⃣","7,254"
"🥊","7,237"
"🌿","7,236"
"‼️","7,228"
"🇨🇳","7,199"
"🏀","7,163"
"🛠️","7,158"
"🪐","7,138"
"🦷","7,123"
"💞","7,081"
"😌","7,054"
"😇","7,048"
"🍽️","7,037"
"🦈","6,958"
"🪷","6,889"
"👤","6,884"
"💌","6,880"
"🗓️","6,849"
"🇵🇸","6,831"
"®️","6,780"
"🖼️","6,708"
"🔋","6,689"
"🥈","6,677"
"🐝","6,642"
"🤮","6,624"
"👩‍❤️‍👨","6,624"
"👶","6,619"
"🤘","6,571"
"🕸️","6,567"
"🍌","6,537"
"🧪","6,530"
"⚫","6,483"
"🥷🏻","6,458"
"🎙️","6,434"
"🙏🏻","6,418"
"👪","6,378"
"👈","6,363"
"✉️","6,321"
"🙃","6,253"
"🧐","6,230"
"👹","6,209"
"👅","6,209"
"🙂‍↕️","6,196"
"🤪","6,186"
"🐟","6,176"
"👨‍💻","6,161"
"😯","6,158"
"📏","6,158"
"😨","6,158"
"🦉","6,144"
"⬆️","6,096"
"⚪","6,089"
"💘","6,086"
"😲","6,075"
"🗑️","6,067"
"🍑","6,035"
"Ⓜ️","6,016"
"🫵🏾","6,006"
"🥱","5,990"
"👎","5,979"
"✌️","5,977"
"🐆","5,970"
"📄","5,968"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","5,948"
"🔓","5,935"
"🩰","5,932"
"🧉","5,930"
"💃","5,861"
"🛜","5,843"
"🍎","5,842"
