"code","value"
"❤️","137,957"
"✅","117,112"
"✨","88,407"
"🔥","81,744"
"😂","79,970"
"😊","77,314"
"👍","76,375"
"🇩🇪","64,124"
"😅","63,599"
"🚀","58,974"
"🎉","57,379"
"😉","52,832"
"👉","51,323"
"☀️","48,261"
"➡️","47,453"
"😭","44,555"
"🫶","43,851"
"💡","43,710"
"😍","43,516"
"🥳","43,505"
"💀","43,155"
"🥰","40,858"
"❌","40,396"
"👀","39,864"
"⚠️","39,407"
"🤔","38,930"
"🙏","38,032"
"💪","37,301"
"⭐","35,096"
"✔️","33,868"
"🎄","33,690"
"🤩","32,168"
"📍","31,846"
"🙈","30,030"
"😁","28,946"
"🤝","28,529"
"👋","28,125"
"🎁","27,777"
"😘","27,240"
"☺️","27,066"
"💙","27,036"
"🤣","25,869"
"💚","25,700"
"😎","25,619"
"🙂","24,862"
"💬","24,727"
"👇","24,669"
"🛒","24,237"
"🥹","24,099"
"❗","24,021"
"🔴","23,482"
"🤍","22,702"
"🤗","21,712"
"🚨","20,510"
"🖤","20,370"
"📅","20,251"
"🫡","20,236"
"😄","20,223"
"💸","19,970"
"☕","19,902"
"📷","19,628"
"♥️","19,556"
"🏆","19,313"
"⬇️","19,149"
"⚡","18,700"
"🔗","18,628"
"🇬🇧","18,455"
"💰","18,428"
"🤖","18,364"
"🇺🇸","18,314"
"🤭","18,307"
"❓","18,102"
"👑","17,955"
"💜","17,212"
"😏","17,071"
"🟢","17,007"
"😇","16,552"
"😈","16,523"
"💥","16,189"
"❄️","16,176"
"⚽","15,949"
"🎃","15,927"
"🌟","15,810"
"ℹ️","15,795"
"💛","15,620"
"📈","15,595"
"💖","15,521"
"😀","15,499"
"😱","15,340"
"🙌","15,265"
"🧡","15,113"
"🤓","15,066"
"🩷","14,912"
"🫣","14,827"
"😋","14,540"
"📖","14,399"
"🥵","14,330"
"🗣️","14,195"
"🤯","14,107"
"🫠","13,585"
"💔","13,582"
"📱","13,497"
"🚗","13,380"
"📚","13,306"
"💻","13,260"
"🖕","13,192"
"🥲","13,186"
"🌞","13,036"
"📝","13,015"
"🇫🇷","12,977"
"✈️","12,822"
"😔","12,564"
"🤡","12,560"
"🥺","12,439"
"🫶🏻","12,352"
"🎶","12,245"
"🍀","12,079"
"💯","11,982"
"🎮","11,929"
"😃","11,680"
"🧠","11,536"
"📢","11,517"
"🎅","11,490"
"🌊","11,470"
"🏠","11,463"
"🌸","11,347"
"🌐","11,301"
"⏰","11,170"
"🌱","11,160"
"🙄","11,013"
"🎥","10,959"
"⚙️","10,951"
"📦","10,947"
"💗","10,891"
"🌴","10,872"
"🇮🇹","10,797"
"🙃","10,788"
"🎯","10,777"
"🌍","10,694"
"💦","10,693"
"👻","10,613"
"❤️‍🔥","10,527"
"🥀","10,467"
"💎","10,466"
"📧","10,437"
"🎂","10,353"
"👏","10,350"
"🎤","10,255"
"🔎","10,175"
"🎨","10,067"
"🟡","10,041"
"🗿","10,009"
"🎵","9,996"
"💕","9,914"
"🤫","9,891"
"📌","9,766"
"😆","9,648"
"💩","9,465"
"🩵","9,427"
"😌","9,393"
"🇪🇸","9,368"
"✌️","9,362"
"1️⃣","9,348"
"🎧","9,245"
"🥂","9,236"
"😜","9,094"
"😳","9,064"
"📸","9,048"
"❤️‍🩹","9,027"
"💋","9,002"
"🫂","8,971"
"📞","8,942"
"🔊","8,597"
"🎫","8,578"
"😬","8,537"
"🍂","8,459"
"📣","8,359"
"🫵","8,338"
"⚔️","8,262"
"🌈","8,203"
"🇪🇺","8,172"
"🔒","8,100"
"🤪","8,098"
"🚬","8,091"
"‼️","8,034"
"🌿","8,020"
"🤤","7,829"
"🇹🇷","7,826"
"💭","7,805"
"🚧","7,797"
"🤑","7,773"
"🐶","7,764"
"🪄","7,744"
"🏖️","7,717"
"🎀","7,711"
"📺","7,679"
"🔍","7,484"
"🌳","7,474"
"✍️","7,428"
"🖥️","7,414"
"📜","7,409"
"☝️","7,396"
"▶️","7,380"
"📊","7,343"
"🪩","7,340"
"🏳️‍🌈","7,323"
"📋","7,319"
"👌","7,289"
"🍻","7,272"
"📰","7,251"
"🤨","7,099"
"🌻","7,088"
"🐾","7,079"
"2️⃣","7,052"
"🌎","7,014"
"🍕","6,980"
"🛠️","6,971"
"🍺","6,968"
"🫶🏼","6,961"
"🌹","6,956"
"😢","6,948"
"🔫","6,920"
"✉️","6,903"
"🎓","6,796"
"💫","6,795"
"🇳🇱","6,776"
"🥇","6,707"
"🛡️","6,680"
"🧐","6,659"
"🔵","6,573"
"🔔","6,561"
"🎬","6,551"
"🗺️","6,499"
"💐","6,493"
"🐰","6,450"
"🍷","6,365"
"💌","6,301"
"✏️","6,292"
"🇨🇭","6,270"
"😲","6,269"
"💃","6,251"
"🛍️","6,249"
"⛰️","6,237"
"🇵🇸","6,227"
"☠️","6,204"
"⌛","6,192"
"😮‍💨","6,128"
"⚖️","6,098"
"🇵🇱","6,015"
"☎️","6,012"
"🗓️","5,981"
"💍","5,974"
"🍹","5,912"
"🐝","5,907"
"🤷","5,900"
"🎙️","5,900"
"😴","5,886"
"🏡","5,878"
"🕯️","5,845"
"☑️","5,834"
"🎈","5,832"
"⬆️","5,832"
"🩸","5,800"
"🟠","5,795"
"⏳","5,786"
"3️⃣","5,783"
"🎆","5,773"
"🖼️","5,728"
"🇦🇹","5,725"
"🇷🇺","5,722"
"🍆","5,697"
"🏎️","5,680"
"👎","5,638"
"🚫","5,631"
"🤞","5,615"
"🥶","5,610"
"🔋","5,607"
"😡","5,579"
"🏝️","5,515"
"🏁","5,487"
"🚚","5,435"
"🐈","5,429"
"🚲","5,427"
"😮","5,383"
"😵‍💫","5,382"
"☁️","5,335"
"🟥","5,327"
"💤","5,321"
"🫩","5,311"
"🔮","5,307"
"💧","5,293"
"💶","5,285"
"🍑","5,263"
"👈","5,224"
"🏃","5,213"
"🐕","5,204"
"🫦","5,199"
"🤮","5,057"
"🔑","5,042"
"🧸","5,035"
"🦅","4,973"
"🕊️","4,972"
"🍪","4,957"
"🍽️","4,956"
"🦋","4,941"
"🍔","4,905"
"💨","4,885"
"🇯🇵","4,879"
"🇺🇦","4,859"
"💅","4,856"
"🍿","4,845"
"🦁","4,798"
"📄","4,765"
"🙂‍↕️","4,742"
"💞","4,736"
"🥨","4,726"
"🥚","4,721"
"🍾","4,716"
"🌙","4,701"
"👶","4,659"
"📲","4,646"
"🐟","4,646"
"🎭","4,641"
"⏱️","4,622"
"🌷","4,615"
"🤘","4,601"
"🎲","4,592"
"🌲","4,565"
"💼","4,553"
"💣","4,544"
"🪙","4,542"
"🛑","4,530"
"👍🏻","4,521"
"🆕","4,474"
"🔨","4,463"
"🪽","4,398"
"👥","4,395"
"✂️","4,392"
"🍫","4,390"
"🥷","4,380"
"❔","4,378"
"➕","4,368"
"🎸","4,354"
"🫧","4,316"
"🍃","4,304"
"🎟️","4,275"
"🐱","4,222"
"🔧","4,219"
"🦊","4,190"
"🗑️","4,130"
"🎊","4,129"
"🦇","4,080"
"🌶️","4,066"
"🧪","4,064"
"🐐","4,046"
"🇵🇹","4,038"
"🦄","4,036"
"🏢","4,034"
"⁉️","4,034"
"🌼","4,030"
"🚩","4,017"
"😩","4,005"
"😐","4,003"
"🐺","4,000"
"🤦","3,994"
"🤠","3,993"
"🍰","3,989"
"💝","3,984"
"🔹","3,969"
"👁️","3,966"
"🧿","3,954"
"🧊","3,942"
"🇸🇪","3,923"
"🍁","3,918"
"🇨🇳","3,918"
"🫀","3,890"
"🤌","3,879"
"💵","3,877"
"🍒","3,853"
"🎞️","3,834"
"🥴","3,796"
"👽","3,780"
"📹","3,770"
"👅","3,768"
"🐇","3,767"
"⚓","3,755"
"😝","3,749"
"🎰","3,748"
"🏗️","3,745"
"🐻","3,744"
"📆","3,717"
"😨","3,709"
"🏳️‍⚧️","3,702"
"🕺","3,688"
"🇬🇷","3,670"
"🇧🇷","3,669"
"🐉","3,620"
"🍌","3,616"
"🍎","3,595"
"♻️","3,593"
"👾","3,582"
"⚫","3,572"
"⛔","3,570"
"🏰","3,557"
"🧭","3,555"
"🇮🇱","3,549"
"🇩🇰","3,549"
"🔪","3,544"
"🔞","3,517"
"📁","3,517"
"😠","3,498"
"🐣","3,498"
"❣️","3,494"
"🥦","3,467"
"📉","3,458"
"⚪","3,456"
"🧩","3,455"
"🔄","3,449"
"🪖","3,437"
"👤","3,437"
"🤬","3,411"
"😞","3,408"
"🥱","3,387"
"🟩","3,378"
"🍓","3,377"
"🍝","3,374"
"4️⃣","3,361"
"🥐","3,359"
"💓","3,342"
"🤷‍♂️","3,338"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","3,322"
"🧳","3,317"
"🌒","3,314"
"💲","3,309"
"🥗","3,288"
"🍋","3,285"
"🙁","3,284"
"🛏️","3,273"
"😒","3,271"
"🏴‍☠️","3,265"
"🏅","3,261"
"👕","3,249"
"👉🏻","3,230"
"🚌","3,224"
"🐎","3,205"
"🪦","3,204"
"☃️","3,202"
"💪🏻","3,201"
"🔜","3,193"
"🦌","3,182"
"😤","3,161"
"🗳️","3,134"
"🦖","3,126"
"🧘","3,124"
"🦷","3,121"
"🥊","3,119"
"🏀","3,118"
"🍭","3,118"
"♀️","3,113"
"🌌","3,107"
"🌺","3,102"
"🐈‍⬛","3,099"
"🍲","3,098"
"💘","3,085"
"🟣","3,080"
"😛","3,077"
"🫰","3,073"
"♾️","3,068"
"🥁","3,043"
"📩","3,040"
"📕","3,040"
"🕵️","3,039"
"🚪","3,032"
"🌧️","3,029"
"🇨🇦","3,017"
"🗡️","3,016"
"😕","3,006"
"🌠","2,976"
"💪🏼","2,970"
"🙏🏻","2,968"
"⬅️","2,964"
"🫨","2,959"
"🇮🇳","2,950"
"🔝","2,947"
"☹️","2,945"
"😟","2,941"
"🧹","2,920"
"🍵","2,909"
"🍸","2,899"
"🐸","2,896"
"🧀","2,889"
"🚢","2,885"
"💊","2,882"
"🐦","2,878"
"📃","2,874"
"🤎","2,871"
"🚆","2,865"
"🏫","2,865"
"🇨🇿","2,862"
"🪷","2,840"
"🖌️","2,829"
"👟","2,828"
"💳","2,820"
"🥩","2,817"
