"code","value"
"❤️","208,098"
"✅","153,433"
"✨","133,275"
"🇫🇷","127,847"
"🔥","114,608"
"⚠️","112,006"
"😊","89,713"
"😂","88,253"
"😉","86,662"
"⭐","83,460"
"☀️","78,411"
"👉","78,239"
"😅","74,574"
"📍","69,909"
"🚀","63,037"
"🫶","62,856"
"🙏","60,847"
"🫶🏻","59,295"
"➡️","57,950"
"🎁","53,599"
"💡","53,401"
"👀","52,702"
"❌","51,234"
"🚨","50,111"
"🎉","48,871"
"👍","48,158"
"😭","44,204"
"🤣","42,488"
"🥰","41,066"
"🤩","39,788"
"🇬🇧","38,715"
"🥹","37,715"
"✔️","37,542"
"🤝","37,039"
"📅","37,038"
"💪","36,903"
"🤔","36,852"
"😍","34,455"
"👇","33,199"
"🥳","30,884"
"⚡","29,858"
"😁","29,842"
"🇺🇸","29,317"
"💬","29,070"
"👋","29,040"
"📷","28,988"
"💀","28,851"
"🤍","28,426"
"🎯","27,164"
"😘","27,016"
"🔴","27,002"
"📞","26,432"
"💰","26,278"
"💙","25,955"
"☺️","25,749"
"👑","24,497"
"🙂","24,353"
"📢","24,337"
"😏","24,201"
"🎄","24,030"
"🔗","23,978"
"😎","23,755"
"🌟","23,691"
"🎥","23,175"
"🫣","23,158"
"🩷","22,775"
"⬇️","22,767"
"🤞","22,669"
"🏆","22,351"
"🤖","21,846"
"💥","21,829"
"🌍","21,752"
"😈","21,410"
"📝","21,145"
"📧","20,996"
"🖕","20,634"
"🎨","20,626"
"😱","20,549"
"👏","20,502"
"💻","20,348"
"📱","19,936"
"💸","19,900"
"🟢","19,734"
"🥲","19,504"
"🌐","19,260"
"ℹ️","19,245"
"🔎","19,178"
"📖","18,994"
"🤭","18,758"
"🫦","18,609"
"🇮🇹","18,324"
"🎵","18,298"
"🤗","18,293"
"🇪🇸","18,198"
"🏠","18,119"
"☕","18,007"
"🧠","17,647"
"📚","17,565"
"🫠","17,519"
"🖤","17,305"
"📈","17,304"
"🫡","17,272"
"🥵","17,009"
"😄","16,949"
"🤓","16,909"
"🥇","16,853"
"🌞","16,768"
"📣","16,651"
"🚗","16,554"
"❓","16,383"
"📦","16,349"
"😋","16,134"
"💚","16,070"
"📌","15,906"
"🧡","15,807"
"🌸","15,761"
"❄️","15,696"
"📸","15,654"
"💛","15,504"
"⚙️","15,246"
"🎂","14,981"
"💖","14,956"
"🎃","14,938"
"🇩🇪","14,842"
"🤯","14,790"
"☠️","14,740"
"😀","14,660"
"🇵🇸","14,361"
"✈️","14,242"
"💜","14,241"
"❤️‍🔥","14,001"
"🪩","13,943"
"🌿","13,894"
"⚽","13,860"
"🤡","13,596"
"🎫","13,578"
"🎤","13,200"
"🎶","13,045"
"😇","13,031"
"🌱","13,004"
"🌊","12,979"
"🗣️","12,941"
"🫶🏼","12,879"
"💎","12,837"
"🎮","12,721"
"🛒","12,568"
"🟠","12,290"
"🎬","12,286"
"⏳","12,199"
"✍️","12,167"
"1️⃣","12,161"
"🙌","12,123"
"🙄","12,032"
"👌","11,922"
"🙃","11,838"
"😬","11,788"
"🎧","11,761"
"💔","11,756"
"⏰","11,650"
"👻","11,568"
"📊","11,521"
"🌴","11,351"
"🇪🇺","11,240"
"😔","11,127"
"⌛","11,068"
"🚧","11,052"
"🤫","11,026"
"📺","11,011"
"📜","10,988"
"🩸","10,944"
"🔵","10,942"
"⚔️","10,686"
"🗓️","10,597"
"😆","10,580"
"🔍","10,531"
"🔔","10,512"
"🟡","10,493"
"🍀","10,481"
"🌈","10,445"
"🎅","10,343"
"🎙️","10,311"
"🌎","10,185"
"💕","10,147"
"🪄","10,054"
"🆕","10,031"
"💗","10,023"
"🇲🇦","9,996"
"😃","9,965"
"🥺","9,961"
"✉️","9,926"
"🍷","9,904"
"⚖️","9,901"
"2️⃣","9,891"
"🗿","9,777"
"❤️‍🩹","9,744"
"🥂","9,742"
"🔊","9,713"
"💼","9,579"
"▶️","9,562"
"🥐","9,550"
"🔒","9,539"
"🌳","9,474"
"🇯🇵","9,463"
"🚚","9,453"
"❗","9,452"
"🇩🇿","9,407"
"🖥️","9,353"
