"code","value"
"❤️","284,760"
"😂","259,078"
"✨","231,118"
"✅","221,580"
"👀","172,555"
"🔥","164,654"
"😊","164,554"
"⭐","153,635"
"😭","145,359"
"🎉","141,783"
"👇","138,096"
"👍","115,170"
"👉","114,976"
"🎄","109,822"
"✔️","99,120"
"💀","96,720"
"➡️","95,380"
"🔗","85,877"
"☀️","85,585"
"🚨","84,721"
"🤣","83,455"
"⬇️","82,584"
"🇬🇧","76,423"
"📍","76,329"
"❌","76,270"
"🚀","75,250"
"🙏","73,307"
"😍","73,023"
"🤔","72,531"
"👋","70,066"
"🤩","68,791"
"🏆","67,110"
"💙","66,963"
"😅","66,145"
"💪","65,522"
"😉","62,706"
"🌟","61,521"
"🎁","61,083"
"📅","60,312"
"💡","60,295"
"👏","58,968"
"⚠️","58,619"
"🙌","56,065"
"🔴","54,456"
"💚","54,417"
"🥳","54,281"
"💬","53,749"
"🤝","52,954"
"🥰","52,843"
"📷","52,105"
"💰","51,768"
"🫶","47,934"
"🗣️","46,542"
"🥹","46,331"
"⚽","45,751"
"💜","45,381"
"🎃","44,998"
"🫡","44,886"
"☕","44,620"
"⚡","44,335"
"😎","43,696"
"☺️","42,242"
"🤍","42,062"
"🎅","41,941"
"🩷","41,542"
"📈","41,372"
"🇺🇸","40,843"
"💸","40,123"
"⏰","39,663"
"📣","39,096"
"❄️","38,489"
"😈","38,474"
"👑","38,323"
"✈️","37,759"
"📢","37,667"
"🤞","37,537"
"💥","37,420"
"🖤","37,019"
"🎟️","36,527"
"💛","36,453"
"📚","36,324"
"📖","35,013"
"💖","35,010"
"💔","34,632"
"🎨","34,566"
"😁","34,338"
"🙂","34,094"
"😔","33,338"
"📱","32,019"
"💗","31,781"
"📸","31,661"
"🎥","31,462"
"🟢","31,454"
"🤯","31,372"
"🤖","31,305"
"🧡","30,986"
"👻","30,616"
"💻","30,165"
"📝","30,146"
"😘","30,035"
"🥂","30,034"
"✍️","29,913"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿","29,702"
"❓","29,513"
"🤓","29,483"
"🎶","29,265"
"🏠","29,057"
"🎵","28,374"
"😏","28,215"
