"code","value"
"🫶","391,141"
"🫂","373,802"
"❤️‍🩹","370,649"
"🫶🏻","365,195"
"❤️","352,526"
"🥹","342,687"
"🧿","305,829"
"❤️‍🔥","239,344"
"🫡","235,463"
"🫠","195,033"
"😂","155,251"
"😭","151,331"
"✅","150,771"
"🔥","148,343"
"🫀","138,227"
"🔱","127,962"
"🫵","123,080"
"📍","122,895"
"🤍","121,017"
"✨","120,208"
"🇮🇳","112,588"
"🗿","109,938"
"💀","104,118"
"🙏","101,424"
"⭐","86,166"
"😊","82,227"
"🪔","81,699"
"🫣","79,556"
"🩷","78,610"
"🥺","77,371"
"❌","76,500"
"🤌","76,004"
"🥲","74,689"
"🚀","74,658"
"🪷","74,010"
"💸","73,882"
"📅","73,112"
"✔️","72,996"
"🚩","65,805"
"🎀","62,097"
"😮‍💨","57,737"
"🫵🏻","56,960"
"🥰","56,124"
"😍","55,882"
"🤣","54,232"
"💔","53,282"
"🫦","50,246"
"👍","50,017"
"🥀","49,401"
"🤌🏻","49,105"
"♾️","48,566"
"🎉","47,444"
"💯","47,239"
"😔","46,022"
"📞","45,928"
"👑","45,816"
"👀","45,210"
"😘","45,001"
"🗣️","44,579"
"📈","43,221"
"👉","42,941"
"🫶🏼","42,048"
"🖤","41,476"
"👇","40,476"
"🦋","38,542"
"😅","38,069"
"💎","37,304"
"⬇️","36,809"
"💗","36,221"
"🔴","35,071"
"😎","34,924"
"🫧","34,331"
"🫰","34,037"
"🩵","33,966"
"🖼️","33,551"
"🤔","33,111"
"🌒","32,749"
"😀","32,378"
"🙂","31,964"
"😁","31,515"
"⚠️","31,286"
"🚬","30,941"
"⚡","30,600"
"🪈","30,224"
"👋","29,981"
"🤩","29,642"
"🔫","29,615"
"⚕️","29,164"
"🎂","29,018"
"🦅","27,097"
"😉","27,046"
"🥳","27,043"
"🪬","27,032"
"➡️","27,005"
"💙","26,998"
"💋","25,873"
"🪽","25,068"
"☠️","24,861"
"😱","24,698"
"🏆","24,596"
"☺️","24,462"
"🪞","24,450"
"📧","24,186"
"🎁","23,822"
"💖","23,780"
"🖕","23,726"
"🙂‍↔️","23,716"
"🤝","23,643"
"⚔️","23,086"
"🇵🇸","22,942"
"🕊️","22,846"
"😋","22,818"
"🔗","22,536"
"💦","22,443"
"📷","22,018"
"🧸","21,468"
"🚨","21,431"
"🫩","21,391"
"🎧","21,381"
"🤭","21,182"
"💰","21,133"
"🥵","21,092"
"🕉️","20,797"
"🪄","20,701"
"😇","20,658"
"💪","20,394"
"📱","20,321"
"💩","20,108"
"🤫","19,895"
"🤡","19,846"
"😏","19,270"
"🇺🇸","19,117"
"😲","19,096"
"🌸","18,919"
"💬","18,484"
"🛐","18,323"
"🫴","18,207"
"😈","18,172"
"💥","18,115"
"💡","17,916"
"🌐","17,819"
"😄","17,598"
"📌","17,502"
"🤯","17,431"
"✈️","17,402"
"💚","17,180"
"🩶","17,143"
"🧠","17,092"
"🔪","17,056"
"🌎","16,942"
"🙂‍↕️","16,919"
"🌟","16,763"
"💛","16,649"
"📿","16,616"
"🦚","16,501"
"🌹","16,401"
"🤗","16,288"
"☕","16,280"
"🛒","16,119"
"🌙","15,816"
"▶️","15,792"
"🏏","15,665"
"😆","15,607"
"🎯","15,569"
"🥂","15,464"
"💜","15,423"
"😃","15,323"
"🏠","15,303"
"😌","15,188"
"📢","15,130"
"🔊","14,991"
"🩸","14,933"
"🌚","14,863"
"🤖","14,854"
"💕","14,730"
"🐾","14,668"
"🛕","14,403"
"🩹","14,317"
"🫴🏻","14,199"
"🥶","14,183"
"🥷","14,179"
"📚","14,110"
"🪁","14,081"
"💐","14,068"
"👻","14,066"
"🦁","13,993"
"🎶","13,924"
"🇦🇪","13,797"
"☀️","13,701"
"🩺","13,407"
"🟢","13,273"
"💍","13,217"
"🥱","13,089"
"🙏🏻","13,061"
"🤑","13,027"
"😡","12,981"
"💞","12,959"
"💌","12,809"
"😢","12,757"
"✂️","12,739"
"🙃","12,661"
"🙈","12,629"
"👏","12,558"
"🎮","12,380"
"💝","12,147"
"🫰🏻","12,132"
"🐦‍🔥","11,813"
"🔔","11,800"
"⏰","11,705"
"😠","11,653"
"💻","11,600"
"🙄","11,584"
"😳","11,545"
"☎️","11,514"
"🇬🇧","11,469"
"🪐","11,431"
"🏳️‍🌈","11,399"
"🏍️","11,288"
"🎓","11,138"
"📉","11,094"
"🤎","11,046"
"⛰️","10,771"
"✍️","10,716"
"🐐","10,690"
"🗓️","10,602"
"🧨","10,578"
"💫","10,519"
"🤤","10,448"
"😒","10,408"
"🙌","10,353"
"😜","10,253"
"😞","10,248"
"🎥","10,176"
"♥️","10,149"
"🐈‍⬛","10,094"
"😚","10,074"
"📖","10,073"
"🎵","9,980"
"🛍️","9,929"
"🐼","9,888"
"❓","9,874"
"🐚","9,806"
"😮","9,764"
"⚜️","9,735"
"😶‍🌫️","9,730"
"🔒","9,685"
"🖥️","9,677"
"🏹","9,670"
"🌔","9,668"
"🎭","9,627"
"📝","9,595"
"👸","9,549"
"🤓","9,511"
"🔍","9,501"
"😴","9,373"
"🧡","9,348"
"🍎","9,290"
"🐍","9,176"
"🌿","9,155"
"🤨","9,115"
"🩴","9,091"
"🎄","8,999"
"🔞","8,989"
"🤦","8,987"
"⚙️","8,975"
"💉","8,927"
"🕺","8,917"
"🌊","8,915"
"🙇","8,892"
"❣️","8,845"
"💃","8,824"
"💓","8,742"
"🌶️","8,742"
"🎨","8,724"
"💅","8,624"
"🎅","8,525"
"🚚","8,517"
"❗","8,487"
"🚗","8,462"
"🦢","8,406"
"❄️","8,369"
"🤪","8,225"
"🤧","8,191"
"👍🏻","8,188"
"☑️","8,165"
"🪖","8,137"
"😝","8,132"
"🪩","8,094"
"💭","8,037"
"👅","8,018"
"💘","7,910"
"👽","7,852"
"🌷","7,763"
"🌧️","7,763"
"🌻","7,730"
"🏎️","7,725"
