"code","value"
"🩷","19,800"
"🩵","16,507"
"✅","13,312"
"✨","13,060"
"❤️","12,592"
"😭","11,716"
"🇯🇵","10,682"
"😊","9,610"
"🔥","8,794"
"😂","8,747"
"🙏","8,738"
"🥹","7,242"
"🤔","7,118"
"⚠️","6,994"
"😅","6,993"
"⭐","6,511"
"👍","6,471"
"🤣","6,393"
"🎉","6,184"
"🥰","6,053"
"❌","5,768"
"🫡","5,653"
"☺️","5,596"
"💀","5,247"
"👀","4,873"
"📍","4,466"
"🙇","4,343"
"😆","4,141"
"🥺","3,997"
"😍","3,942"
"🫶","3,893"
"💖","3,697"
"🫶🏻","3,446"
"😉","3,381"
"🌸","3,369"
"🥲","3,359"
"😁","3,327"
"😄","3,318"
"😀","3,306"
"✔️","3,242"
"☀️","3,166"
"🤩","3,150"
"🇺🇸","3,136"
"🎃","3,118"
"💕","3,074"
"🫠","2,998"
"😎","2,995"
"💡","2,949"
"➡️","2,919"
"🇹🇼","2,852"
"💪","2,826"
"🚀","2,809"
"❄️","2,807"
"👉","2,804"
"🎁","2,688"
"🤭","2,643"
"❤️‍🔥","2,608"
"🥳","2,581"
"😋","2,542"
"🩶","2,493"
"🌟","2,442"
"🙂","2,358"
"😱","2,355"
"😘","2,343"
"👋","2,337"
"🤍","2,315"
"😏","2,219"
"💙","2,204"
"🙂‍↕️","2,199"
"🤗","2,194"
"😈","2,176"
"😔","2,162"
"✈️","2,151"
"🗣️","2,133"
"⛩️","2,120"
"🔴","2,111"
"🎄","2,105"
"❤️‍🩹","2,105"
"🚨","2,080"
"🗿","2,060"
"🙇‍♀️","2,050"
"💦","2,036"
"🤖","2,022"
"😇","2,002"
"💛","1,981"
"💗","1,965"
"📝","1,949"
"👏","1,936"
"🥵","1,935"
"💥","1,934"
"🫨","1,922"
"🖤","1,921"
"💚","1,914"
"👻","1,899"
"😌","1,887"
"👇","1,886"
"💬","1,883"
"🤓","1,882"
"🫣","1,860"
"💰","1,855"
"▶️","1,843"
"😢","1,841"
"💩","1,795"
"⬇️","1,789"
"📷","1,787"
"😃","1,756"
"⚡","1,748"
"💜","1,736"
"🇨🇳","1,731"
"🇬🇧","1,727"
"❗","1,724"
"🟢","1,707"
"💞","1,698"
"👑","1,689"
"😳","1,687"
"📖","1,684"
"🔗","1,669"
"🤝","1,661"
"📚","1,647"
"☕","1,643"
"🫵","1,633"
"🤯","1,620"
