"code","value"
"❤️","5,411,438"
"✅","3,701,827"
"✨","3,178,122"
"🔥","3,028,609"
"😭","2,947,895"
"😂","2,480,121"
"😊","2,205,294"
"💀","2,073,876"
"⭐","1,970,259"
"🫶","1,749,054"
"👀","1,578,628"
"🎉","1,562,402"
"🥹","1,541,670"
"👍","1,437,545"
"🙏","1,427,117"
"✔️","1,420,613"
"📍","1,329,565"
"👉","1,274,236"
"🫶🏻","1,229,936"
"❌","1,178,754"
"🥰","1,174,329"
"😅","1,142,926"
"😍","1,134,186"
"🫡","1,111,170"
"😉","1,101,499"
"🚀","1,093,517"
"☀️","1,064,676"
"⚠️","1,060,924"
"➡️","1,060,216"
"🤣","1,053,318"
"🤍","1,048,942"
"👇","991,470"
"🤔","974,854"
"❤️‍🩹","958,972"
"💙","886,597"
"🤩","867,870"
"🎁","861,243"
"🩷","842,221"
"🎄","836,900"
"🫦","831,349"
"💪","821,282"
"🚨","819,667"
"😎","794,298"
"💡","777,973"
"🫂","777,793"
"🥳","760,803"
"🇺🇸","759,059"
"⬇️","744,984"
"🫠","740,087"
"🔴","730,704"
"💔","726,722"
"😔","722,773"
"👋","718,184"
"☺️","714,468"
"🥺","714,455"
"👑","713,691"
"💸","711,430"
"💚","703,225"
"🔗","696,622"
"📅","684,180"
"❤️‍🔥","672,048"
"😘","666,477"
"💰","663,658"
"😁","662,938"
"📷","662,357"
"😈","648,387"
"💬","632,312"
"🗿","626,567"
"🌟","626,528"
"⚡","611,667"
"🖤","608,972"
"🏆","603,605"
"💖","602,448"
"💜","599,684"
"🫵","585,238"
"🤝","583,161"
"🗣️","580,475"
"🎃","563,819"
"😏","558,285"
"💗","541,655"
"🤓","524,708"
"🙂","520,277"
"🤭","517,978"
"☕","506,037"
"💛","505,740"
"📚","499,779"
"❄️","497,011"
"💥","486,997"
"🧿","479,600"
"🤖","473,084"
"✈️","467,136"
"🥀","466,542"
"❗","464,513"
"👏","464,046"
"🥵","460,378"
"🟢","459,378"
"😋","458,921"
"📌","451,408"
"🥲","450,510"
"🙌","448,435"
"🫣","446,906"
"🌸","445,941"
"🎀","441,272"
"💯","439,556"
"📢","438,462"
"📖","432,382"
"📈","429,317"
"😱","424,902"
"📝","423,888"
"📱","422,939"
"😄","421,590"
"😀","420,493"
"🇬🇧","417,974"
"🛒","417,024"
"👻","414,122"
"📞","405,402"
"🎵","405,305"
"🧡","404,980"
"😆","399,486"
"🏠","398,459"
"🤯","397,853"
"🤗","394,237"
"🎨","390,484"
"💻","389,692"
"💕","388,784"
"🧠","386,806"
"💎","386,052"
"⏰","385,924"
"🎥","384,877"
